id,ano,nome,UF,partido,categoria,igreja,corp_pentecostal,evangelico,primeira,sexo,capilaridade,filiados,posicao,decil_filiados,decil_deputados,num_votos,perc_votos,perc_agp,perc_agr,perc_com,perc_fin,perc_ind,perc_inf,perc_ser,perc_pf,perc_rp,receita_agp,receita_agr,receita_com,receita_fin,receita_ind,receita_inf,receita_pf,receita_rp,receita_ser,total_receita
582206,2018,ALEXANDRE LEITE DA SILVA,SP,DEM,DIREITA,,0,0,0,0,0.662,1093466,0.76,0.90,0.70,116416,0.98,0.89,0.00,0.00,0.00,0.00,0.81,0.00,0.00,0.00,1075000.00,0.00,0.00,0.00,0.00,522273.70,0.00,0.00,0.00,1597273.70
581151,2018,MARIA AUXILIADORA SEABRA REZENDE,TO,DEM,DIREITA,,0,0,0,1,0.933,1093466,0.76,0.90,0.70,48008,0.94,0.89,0.00,0.00,0.00,0.00,0.10,0.00,0.27,0.00,2178658.00,0.00,0.00,0.00,0.00,2000.00,2000.00,0.00,0.00,2182658.00
581152,2018,CARLOS HENRIQUE AMORIM,TO,DEM,DIREITA,,0,0,0,0,0.948,1093466,0.76,0.90,0.70,48012,0.95,0.81,0.00,0.11,0.00,0.00,0.70,0.63,0.00,0.00,981912.00,0.00,2000.00,0.00,0.00,20000.00,0.00,0.00,24976.15,1028888.15
584489,2018,ELMAR JOSÉ VIEIRA NASCIMENTO,BA,DEM,DIREITA,,0,0,0,0,0.634,1093466,0.76,0.90,0.70,103823,0.96,0.80,0.43,0.88,0.00,0.00,0.42,0.46,0.67,0.00,1140250.00,20000.00,145000.00,0.00,0.00,10000.00,17500.00,0.00,12000.00,1344750.00
586329,2018,OLAVO BILAC PINTO NETO,MG,DEM,DIREITA,,0,0,0,0,0.277,1093466,0.76,0.90,0.70,87683,0.97,0.92,0.15,0.63,0.45,0.68,0.73,0.62,0.74,0.00,1159070.00,5000.00,40400.00,24663.00,42500.00,140000.00,41800.00,0.00,40000.00,1493433.00
583532,2018,ZACARIAS CALIL HAMU,GO,DEM,DIREITA,,0,0,1,0,0.814,1093466,0.76,0.90,0.70,151508,0.99,0.85,0.00,0.19,0.00,0.00,0.20,0.57,0.81,0.00,501577.74,0.00,2700.00,0.00,0.00,4840.00,48840.00,0.00,20630.00,578587.74
584500,2018,PAULO VELLOSO DANTAS AZI,BA,DEM,DIREITA,,0,0,0,0,0.523,1093466,0.76,0.90,0.70,84090,0.94,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.74,840250.00,0.00,0.00,0.00,0.00,0.00,0.00,18375.00,0.00,858625.00
583534,2018,JOSE MARIO SCHREINER,GO,DEM,DIREITA,,0,0,0,0,0.938,1093466,0.76,0.90,0.70,96188,0.97,0.87,0.82,0.69,0.00,0.64,0.57,0.61,0.76,0.00,600206.19,127013.59,54500.00,0.00,30500.00,70000.00,37500.00,0.00,28000.00,947719.78
584501,2018,LEUR ANTONIO DE BRITTO LOMANTO JUNIOR,BA,DEM,DIREITA,,0,0,0,0,0.705,1093466,0.76,0.90,0.70,82110,0.94,0.71,0.62,0.40,0.57,0.46,0.63,0.65,0.81,0.00,501060.00,53000.00,7000.00,39000.00,2000.00,24000.00,81000.00,0.00,31799.99,738859.99
584509,2018,ARTHUR DE OLIVEIRA MAIA DA SILVA,BA,DEM,DIREITA,,0,0,0,0,0.690,1093466,0.76,0.90,0.70,88908,0.95,0.78,0.81,0.86,0.73,0.00,0.69,0.72,0.45,0.00,940250.00,170000.00,125000.00,124000.00,0.00,43000.00,4000.00,0.00,45000.00,1451250.00
585256,2018,EFRAIM DE ARAUJO MORAIS FILHO,PB,DEM,DIREITA,,0,0,0,0,0.834,1093466,0.76,0.90,0.70,76089,0.95,0.95,1.00,0.40,0.00,0.00,0.00,0.84,0.80,0.00,1095353.16,100000.00,5000.00,0.00,0.00,0.00,25000.00,0.00,76000.00,1301353.16
584972,2018,FERNANDO BEZERRA DE SOUZA COELHO FILHO,PE,DEM,DIREITA,,0,0,0,0,0.637,1093466,0.76,0.90,0.70,92188,0.97,0.68,1.00,0.94,0.22,0.79,0.97,0.92,0.73,0.00,940000.00,165000.00,217675.00,5000.00,145000.00,237000.00,39300.00,0.00,274128.00,2023103.00
583077,2018,LUIS CLAUDIO FERNANDES MIRANDA,DF,DEM,DIREITA,,0,0,1,0,0.995,1093466,0.76,0.90,0.70,65107,0.97,0.00,0.00,0.74,0.44,0.73,0.00,0.86,0.11,0.00,0.00,0.00,35000.00,5000.00,25000.00,0.00,668.00,0.00,465050.00,530718.00
585116,2018,HÉLIO LEITE DA SILVA,PA,DEM,DIREITA,,0,0,0,0,0.705,1093466,0.76,0.90,0.70,102554,0.90,0.91,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1052810.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1052810.00
585087,2018,OLIVAL HENRIQUE MARQUES DE SOUZA,PA,DEM,DIREITA,AD,1,1,0,0,0.921,1093466,0.76,0.90,0.70,135398,0.93,0.74,0.00,0.00,0.00,0.00,0.00,0.53,0.74,0.72,350500.00,0.00,0.00,0.00,0.00,0.00,139596.40,12000.00,21250.00,523346.40
580216,2018,RODRIGO FELINTO IBARRA EPITÁCIO MAIA,RJ,DEM,DIREITA,,0,0,0,0,0.849,1093466,0.76,0.90,0.70,74232,0.99,0.93,0.29,0.93,0.00,0.64,0.75,0.78,0.00,0.00,759816.95,10000.00,700000.00,0.00,30000.00,130000.00,0.00,0.00,200000.00,1829816.95
582829,2018,NORMA AYUB ALVES,ES,DEM,DIREITA,,0,0,0,1,0.746,1093466,0.76,0.90,0.70,57156,0.97,0.96,0.00,0.46,0.00,0.00,0.09,0.35,0.75,0.00,1650128.86,0.00,4020.00,0.00,0.00,2000.00,24800.00,0.00,8000.00,1688948.86
580218,2018,SÓSTENES SILVA CAVALCANTE,RJ,DEM,DIREITA,AD-VEC,1,1,0,0,0.888,1093466,0.76,0.90,0.70,94203,0.99,0.97,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1234317.25,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1234317.25
586466,2018,TEREZA CRISTINA CORREA DA COSTA DIAS,MS,DEM,DIREITA,,0,0,0,1,0.973,1093466,0.76,0.90,0.70,75068,0.98,0.97,1.00,0.77,0.00,1.00,0.00,0.82,0.64,0.00,1358527.97,576000.00,96000.00,0.00,50000.00,0.00,11000.00,0.00,147500.00,2239027.97
580303,2018,PEDRO PAULO CARVALHO TEIXEIRA,RJ,DEM,DIREITA,,0,0,0,0,0.716,1093466,0.76,0.90,0.70,56646,0.98,0.95,0.00,0.72,0.89,0.00,0.71,0.78,0.85,0.75,992649.60,0.00,53850.00,230000.00,0.00,90000.00,54550.00,9001.70,207000.00,1637051.30
580304,2018,ROGERIO TEIXEIRA JUNIOR,RJ,DEM,DIREITA,,0,0,0,0,0.647,1093466,0.76,0.90,0.70,45087,0.97,0.54,0.00,0.79,0.39,0.00,0.00,0.75,0.84,0.00,7120.50,0.00,95600.00,10000.00,0.00,0.00,51900.00,0.00,76819.40,241439.90
585551,2018,PEDRO DEBONI LUPION MELLO,PR,DEM,DIREITA,,0,0,0,0,0.646,1093466,0.76,0.90,0.70,92300,0.97,0.72,0.80,0.71,0.00,0.00,0.00,0.54,0.58,0.00,700000.00,262289.73,35000.00,0.00,0.00,0.00,12950.00,0.00,26200.00,1036439.73
583215,2018,JOSÉ JUSCELINO DOS SANTOS REZENDE FILHO,MA,DEM,DIREITA,,0,0,0,0,0.739,1093466,0.76,0.90,0.70,97075,0.95,0.62,0.00,0.68,0.00,0.00,0.62,0.86,0.80,0.00,716000.00,0.00,22500.70,0.00,0.00,42000.00,57400.85,0.00,61604.65,899506.20
584066,2018,ALAN RICK MIRANDA,AC,DEM,DIREITA,AD,1,1,0,0,0.922,1093466,0.76,0.90,0.70,22263,0.98,0.80,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.78,825300.00,0.00,0.00,0.00,0.00,0.00,12480.00,95000.00,0.00,932780.00
582297,2018,ADRIANO ELI CORRÊA,SP,DEM,DIREITA,,0,0,0,0,0.583,1093466,0.76,0.90,0.70,92257,0.97,0.85,0.00,0.69,0.00,0.00,0.63,0.73,0.73,0.00,664400.00,0.00,79162.50,0.00,0.00,87278.12,16537.22,0.00,80500.00,927877.84
584018,2018,JESSICA ROJAS SALES,AC,MDB,DIREITA,,0,0,0,1,0.711,2392485,0.42,1.00,0.90,28717,0.99,0.96,0.00,0.24,0.00,0.00,0.29,0.56,0.81,0.00,2251500.00,0.00,1500.00,0.00,0.00,1500.00,145900.00,0.00,8800.00,2409200.00
578417,2018,WALTER PEREIRA ALVES,RN,MDB,DIREITA,,0,0,0,0,0.927,2392485,0.42,1.00,0.90,79333,0.95,0.88,0.00,0.00,0.29,0.78,0.50,0.00,0.45,0.00,1555147.83,0.00,0.00,3820.00,40000.00,9360.00,3000.00,0.00,0.00,1611327.83
581926,2018,CARLOS ALBERTO CHIODINI,SC,MDB,DIREITA,,0,0,0,0,0.884,2392485,0.42,1.00,0.90,97613,0.98,0.77,0.00,0.93,0.71,0.76,0.78,0.82,0.90,0.00,384000.00,0.00,328000.00,45000.00,70000.00,35000.00,47000.00,0.00,92000.00,1001000.00
581927,2018,CELSO MALDANER,SC,MDB,DIREITA,,0,0,0,0,0.787,2392485,0.42,1.00,0.90,80086,0.97,0.89,0.00,0.57,0.83,0.80,0.00,0.00,0.11,0.00,1300000.00,0.00,10000.00,356261.15,80000.00,0.00,758.74,0.00,0.00,1747019.89
581900,2018,ROGERIO MENDONÇA,SC,MDB,DIREITA,,0,0,0,0,0.785,2392485,0.42,1.00,0.90,76925,0.96,0.89,0.00,0.11,0.00,0.08,0.52,0.76,0.47,0.00,1300000.00,0.00,1500.00,0.00,2000.00,11064.10,5751.40,0.00,48500.00,1368815.50
583606,2018,JOÃO MARCELO SANTOS SOUZA,MA,MDB,DIREITA,,0,0,0,0,0.726,2392485,0.42,1.00,0.90,67352,0.91,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1502500.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1502500.00
585293,2018,HERMES PARCIANELLO,PR,MDB,DIREITA,,0,0,0,0,0.558,2392485,0.42,1.00,0.90,110717,0.98,0.80,0.00,0.00,0.00,0.33,0.00,0.08,0.00,0.84,1505523.90,0.00,0.00,0.00,5000.00,0.00,0.00,99441.30,1000.00,1610965.20
579319,2018,OSMAR GASPARINI TERRA,RS,MDB,DIREITA,,0,0,0,0,0.805,2392485,0.42,1.00,0.90,86305,0.95,0.94,0.00,0.69,0.74,0.53,0.41,0.84,0.74,0.00,1500000.00,0.00,35000.00,6000.00,14000.00,7100.00,46164.10,0.00,74000.00,1682264.10
583609,2018,HILDO AUGUSTO DA ROCHA NETO,MA,MDB,DIREITA,,0,0,0,0,0.706,2392485,0.42,1.00,0.90,77661,0.94,0.73,0.00,0.00,0.00,0.00,0.00,0.36,0.00,0.00,1510603.86,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4220.00,1514823.86
585302,2018,SERGIO DE SOUZA,PR,MDB,DIREITA,,0,0,0,0,0.702,2392485,0.42,1.00,0.90,94077,0.97,0.79,0.76,0.70,0.00,0.62,0.00,0.63,0.72,0.00,1500000.00,225000.00,34000.00,0.00,25000.00,0.00,30000.00,0.00,55351.97,1869351.97
584475,2018,MOSES HAENDEL MELO RODRIGUES,CE,MDB,DIREITA,Outras,0,1,0,0,0.839,2392485,0.42,1.00,0.90,128526,0.97,0.82,0.00,0.00,0.00,0.00,0.37,0.68,0.00,0.00,1512500.00,0.00,0.00,0.00,0.00,15000.00,0.00,0.00,531000.00,2058500.00
578520,2018,LUCIO ANTONIO MOSQUINI,RO,MDB,DIREITA,Batista,0,1,0,0,0.893,2392485,0.42,1.00,0.90,38630,0.97,0.83,0.00,0.84,0.00,1.00,0.00,0.00,0.59,0.00,1500988.50,0.00,235000.00,0.00,100000.00,0.00,28100.00,0.00,0.00,1864088.50
579320,2018,MARCIO DELLA VALLE BIOLCHI,RS,MDB,DIREITA,,0,0,0,0,0.845,2392485,0.42,1.00,0.90,100362,0.97,0.95,0.49,0.06,0.14,0.16,0.23,0.77,0.74,0.00,1506478.47,15000.00,1000.00,1000.00,2000.00,2500.00,50200.00,0.00,38300.00,1616478.47
579400,2018,DANIELA MOTE DE SOUZA CARNEIRO,RJ,MDB,DIREITA,Outras,0,1,1,1,0.797,2392485,0.42,1.00,0.90,136286,1.00,0.94,0.00,0.68,0.00,0.39,0.47,0.61,0.90,0.00,817663.08,0.00,35000.00,0.00,8000.00,12500.00,273600.00,0.00,25500.00,1172263.08
581238,2018,DULCE FERREIRA PAGANI MIRANDA,TO,MDB,DIREITA,,0,0,0,1,0.894,2392485,0.42,1.00,0.90,40719,0.93,0.90,0.00,0.22,0.00,0.00,0.00,0.22,0.37,0.00,2460500.00,0.00,2800.00,0.00,0.00,0.00,3000.00,0.00,2500.00,2468800.00
583949,2018,ISNALDO BULHÕES BARROS JUNIOR,AL,MDB,DIREITA,,0,0,0,0,0.838,2392485,0.42,1.00,0.90,71847,0.92,0.69,0.00,0.43,0.00,0.67,0.00,0.94,0.94,0.00,600239.58,0.00,6000.00,0.00,12000.00,0.00,47432.70,0.00,328401.44,994073.72
579356,2018,GIOVANI BATISTA FELTES,RS,MDB,DIREITA,,0,0,0,0,0.827,2392485,0.42,1.00,0.90,93088,0.96,0.95,0.00,0.69,0.00,0.72,0.00,0.92,0.73,0.00,1506478.47,0.00,35000.00,0.00,40000.00,0.00,42225.00,0.00,238000.00,1861703.47
579405,2018,GUTEMBERG REIS DE OLIVEIRA,RJ,MDB,DIREITA,AD,1,1,1,0,0.782,2392485,0.42,1.00,0.90,54573,0.98,0.91,0.52,0.77,0.00,0.73,0.32,0.72,0.84,0.00,509214.79,55000.00,75000.00,0.00,53000.00,5380.00,49000.00,0.00,60200.00,806794.79
579363,2018,ALCEU MOREIRA DA SILVA,RS,MDB,DIREITA,,0,0,0,0,0.832,2392485,0.42,1.00,0.90,100341,0.97,0.96,0.70,0.88,0.00,0.74,0.38,0.58,0.25,0.00,1506878.47,108000.00,304531.85,0.00,59500.00,7000.00,1500.00,0.00,12500.00,1999910.32
579406,2018,VINICIUS MEDEIROS FARAH,RJ,MDB,DIREITA,,0,0,0,0,0.779,2392485,0.42,1.00,0.90,57707,0.99,0.87,0.00,0.90,0.73,0.13,0.00,0.81,0.87,0.00,226466.95,0.00,271805.00,70000.00,1500.00,0.00,78470.00,0.00,612049.90,1260291.85
583309,2018,HERCÍLIO ARAÚJO DINIZ FILHO,MG,MDB,DIREITA,,0,0,1,0,0.513,2392485,0.42,1.00,0.90,120489,0.99,0.63,0.00,0.87,0.00,0.00,0.00,0.00,0.25,0.00,28136.06,0.00,1982000.00,0.00,0.00,0.00,2000.00,0.00,0.00,2012136.06
583308,2018,FÁBIO AUGUSTO RAMALHO DOS SANTOS,MG,MDB,DIREITA,,0,0,0,0,0.526,2392485,0.42,1.00,0.90,63149,0.95,0.95,0.27,0.83,0.59,0.41,0.71,0.77,0.73,0.86,1507556.69,10000.00,158000.00,50000.00,7000.00,125000.00,40700.00,38000.00,170000.00,2106256.69
583280,2018,MAURO RIBEIRO LOPES,MG,MDB,DIREITA,,0,0,0,0,0.487,2392485,0.42,1.00,0.90,58243,0.94,0.95,0.00,0.65,0.00,0.04,0.00,0.49,0.70,0.00,1501956.69,0.00,43500.00,0.00,1000.00,0.00,34500.00,0.00,14340.00,1595296.69
584777,2018,RAUL JEAN LOUIS HENRY JUNIOR,PE,MDB,DIREITA,,0,0,0,0,0.794,2392485,0.42,1.00,0.90,87585,0.96,0.65,0.00,0.64,0.32,0.41,0.78,0.80,0.63,0.00,841444.32,0.00,37980.00,6000.00,15000.00,56000.00,17087.02,0.00,98000.00,1071511.34
583281,2018,NEWTON CARDOSO JÚNIOR,MG,MDB,DIREITA,,0,0,0,0,0.520,2392485,0.42,1.00,0.90,69900,0.96,0.95,0.83,0.25,0.31,0.49,0.41,0.79,0.65,0.00,1503355.19,299500.00,3333.00,10000.00,13000.00,10000.00,22040.00,0.00,217650.00,2078878.19
585105,2018,JOSÉ BENITO PRIANTE JUNIOR,PA,MDB,DIREITA,,0,0,0,0,0.860,2392485,0.42,1.00,0.90,154647,0.97,0.95,0.00,0.00,0.00,0.00,0.13,0.00,0.00,0.00,1531481.00,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,0.00,1532481.00
581976,2018,FABIO DE ALMEIDA REIS,SE,MDB,DIREITA,,0,0,0,0,0.931,2392485,0.42,1.00,0.90,64879,0.99,0.98,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.55,1502965.96,0.00,0.00,0.00,0.00,0.00,0.00,3000.00,0.00,1505965.96
585783,2018,MARCOS AURELIO PADUA RIBEIRO GONÇALVES DE SAMPAIO,PI,MDB,DIREITA,,0,0,0,0,0.840,2392485,0.42,1.00,0.90,73302,0.95,0.76,0.00,0.71,0.00,0.00,0.84,0.82,0.93,0.00,319750.00,0.00,38000.00,0.00,0.00,12500.00,94854.03,0.00,79400.00,544504.03
585107,2018,ELCIONE THEREZINHA ZAHLUTH BARBALHO,PA,MDB,DIREITA,,0,0,0,1,0.856,2392485,0.42,1.00,0.90,165202,0.99,0.98,0.00,0.00,0.00,0.00,0.13,0.76,0.00,0.00,2010430.00,0.00,0.00,0.00,0.00,1000.00,0.00,0.00,63300.00,2074730.00
582383,2018,HERCULANO CASTILHO PASSOS JUNIOR,SP,MDB,DIREITA,,0,0,0,0,0.403,2392485,0.42,1.00,0.90,49653,0.94,0.92,0.00,0.00,0.00,0.00,0.00,0.31,0.11,0.00,1503916.66,0.00,0.00,0.00,0.00,0.00,500.00,0.00,5000.00,1509416.66
582370,2018,LUIZ FELIPE BALEIA TENUTO ROSSI,SP,MDB,DIREITA,,0,0,0,0,0.811,2392485,0.42,1.00,0.90,214042,1.00,0.92,0.00,0.00,0.00,0.00,0.00,0.17,0.00,0.00,1600000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2000.00,1602000.00
586390,2018,JUAREZ ALVES DA COSTA,MT,MDB,DIREITA,,0,0,0,0,0.556,2392485,0.42,1.00,0.90,49912,0.92,0.64,0.50,0.53,0.64,0.19,0.23,0.83,0.81,0.00,140788.00,100000.00,30500.00,22000.00,2500.00,3500.00,39750.00,0.00,62250.00,401288.00
584016,2018,FLAVIANO FLAVIO BAPTISTA DE MELO,AC,MDB,DIREITA,,0,0,0,0,0.878,2392485,0.42,1.00,0.90,18723,0.94,0.93,0.00,0.59,0.00,0.00,0.72,0.29,0.72,0.00,1603200.00,0.00,6700.00,0.00,0.00,3500.00,77400.00,0.00,3400.00,1694200.00
586392,2018,CARLOS GOMES BEZERRA,MT,MDB,DIREITA,,0,0,0,0,0.935,2392485,0.42,1.00,0.90,59155,0.97,0.94,0.00,0.32,0.00,0.00,0.00,0.33,0.74,0.00,1840100.00,0.00,7500.00,0.00,0.00,0.00,30872.35,0.00,5500.00,1883972.35
578967,2018,MARCEL VAN HATTEM,RS,NOVO,DIREITA,Luterana,0,1,0,0,0.938,26215,0.76,0.20,0.40,349855,1.00,0.54,0.39,0.83,0.96,0.77,0.51,0.92,0.78,0.00,32231.49,8000.00,130181.58,57500.00,67500.00,17999.99,215080.18,0.00,295662.40,824155.64
585903,2018,TIAGO LIMA MITRAUD DE CASTRO LEITE,MG,NOVO,DIREITA,,0,0,1,0,0.771,26215,0.76,0.20,0.40,71901,0.96,0.53,0.38,0.81,0.67,0.04,0.82,0.80,0.74,0.69,12659.66,20000.00,149500.00,87499.99,1000.00,251000.00,44044.20,5000.00,244128.00,814831.85
585905,2018,LUCAS DE VASCONCELOS GONZALEZ,MG,NOVO,DIREITA,Batista,0,1,1,0,0.674,26215,0.76,0.20,0.40,64022,0.95,0.48,0.00,0.67,0.54,0.00,0.77,0.82,0.77,0.00,10000.00,0.00,50000.00,35500.00,0.00,196800.00,62599.43,0.00,309783.00,664682.43
580434,2018,PAULO GUSTAVO GANIME ALVES TEIXEIRA,RJ,NOVO,DIREITA,,0,0,1,0,0.827,26215,0.76,0.20,0.40,52983,0.98,0.51,0.29,0.69,0.76,0.52,0.19,0.71,0.86,0.00,6099.16,10000.00,37000.00,96090.00,20000.00,3000.00,66915.80,0.00,59730.30,298835.26
580857,2018,ADRIANA MIGUEL VENTURA,SP,NOVO,DIREITA,,0,0,1,1,0.694,26215,0.76,0.20,0.40,64341,0.96,0.74,0.47,0.62,0.72,0.13,0.31,0.74,0.74,0.00,119118.35,21000.00,33000.00,101516.87,1800.00,7000.00,18280.00,0.00,93360.00,395075.22
581863,2018,GILSON MARQUES VIEIRA,SC,NOVO,DIREITA,,0,0,1,0,0.746,26215,0.76,0.20,0.40,27443,0.85,0.12,0.00,0.59,0.20,0.84,0.83,0.51,0.68,0.00,3599.16,0.00,12000.00,8000.00,91000.00,45520.00,13640.00,0.00,11000.00,184759.16
580799,2018,VINICIUS LAZZER POIT,SP,NOVO,DIREITA,,0,0,1,0,0.809,26215,0.76,0.20,0.40,207118,1.00,0.56,0.58,0.80,0.80,0.68,0.78,0.77,0.92,0.00,29000.00,83500.00,327499.99,254499.96,36530.00,307500.00,125594.00,0.00,118924.02,1283047.97
580822,2018,ALEXIS JOSEPH STEVERLYNCK FONTEYNE,SP,NOVO,DIREITA,,0,0,1,0,0.666,26215,0.76,0.20,0.40,45298,0.93,0.00,0.22,0.00,0.67,0.48,0.00,0.57,0.76,0.00,817.80,5000.00,0.00,54720.00,10000.00,0.00,20770.52,0.00,24000.00,115308.32
585687,2018,FRANCISCO EURICO DA SILVA,PE,PATRIOTA,DIREITA,AD,1,1,0,0,0.922,80019,0.35,0.30,0.30,125025,0.99,0.61,0.00,0.37,0.00,0.00,0.00,0.58,0.74,0.00,411500.00,0.00,5500.00,0.00,0.00,0.00,40000.00,0.00,18000.00,475000.00
582898,2018,ANTÔNIO LUIZ RODRIGUES MANO JÚNIOR,CE,PATRIOTA,DIREITA,,0,0,0,0,0.778,80019,0.35,0.30,0.30,67917,0.91,0.00,0.00,0.00,0.00,0.00,0.95,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,536464.00,19000.00,0.00,0.00,555464.00
586741,2018,FREDERICO DE CASTRO ESCALEIRA,MG,PATRIOTA,DIREITA,,0,0,1,0,0.206,80019,0.35,0.30,0.30,60950,0.95,0.47,0.00,0.42,0.00,0.00,0.00,0.82,0.68,0.00,8135.55,0.00,9000.00,0.00,0.00,0.00,29500.00,0.00,303700.00,350335.55
586746,2018,FREDERICO BORGES DA COSTA,MG,PATRIOTA,DIREITA,,0,0,0,0,0.685,80019,0.35,0.30,0.30,87446,0.97,0.91,0.01,0.22,0.00,0.00,0.79,0.76,0.73,0.00,1070118.90,2000.00,3000.00,0.00,0.00,200000.00,39700.00,0.00,129403.96,1444222.86
583196,2018,ANTONIO DA CRUZ FILGUEIRA NETO,MA,PATRIOTA,DIREITA,,0,0,0,0,0.852,80019,0.35,0.30,0.30,79674,0.94,0.55,0.00,0.88,0.00,0.30,0.00,0.75,0.66,0.00,350000.00,0.00,70000.00,0.00,2600.00,0.00,20600.00,0.00,37000.00,480200.00
